person_id,runtime_cohort,leg_mode,planned_origin_type,planned_destination_type,planned_departure_time,route_distance,realized_departure_time,elapsed_to_48h_seconds,last_event_before_stuck,last_event_time,last_link_id,last_car_movement,last_car_movement_time,last_car_movement_link,pt_reached_stop,pt_boarded,pt_left_vehicle,pt_on_vehicle_at_cutoff,waiting_stop,destination_stop,transit_vehicle,transit_line,transit_route,already_stuck_at_43h,root_cause
"625906",regional_background,pt,"home","work",27060.000,56342.758,27534.000,145266.000,waitingForPt,27534.000,"101674.11",<none>,,"",true,true,true,false,"101674.11","142500.2","tr_161","XXX---161788_2","XXX---161788_2_33",true,PT_BOARDED_NOT_ARRIVED
"626054",regional_background,pt,"work","home",20080.000,2829.862,70776.000,102024.000,waitingForPt,70776.000,"164942",<none>,,"",true,false,false,false,"164942","164543","","","",true,PT_NEVER_BOARDED
"6265222",regional_background,pt,"shopping","home",40793.000,11872.294,51480.000,121320.000,waitingForPt,51480.000,"22825.2",<none>,,"",true,true,true,false,"22825.2","136827","tr_38265","XXX---2270737_3","XXX---2270737_3_0",true,PT_BOARDED_NOT_ARRIVED
"6265483",unresolved_background,car,"other","other",54860.000,19569.822,54860.000,117940.000,entered link,137014.000,"16208",entered link,137014.000,"16208",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
"6274973",unresolved_background,car,"other","other",69831.000,10156.132,69831.000,102969.000,entered link,155556.000,"16208",entered link,155556.000,"16208",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
"6275909",unresolved_background,car,"other","other",48170.000,13453.606,48170.000,124630.000,entered link,126358.000,"419626",entered link,126358.000,"419626",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
"6280823",regional_background,pt,"other","home",74460.000,39809.439,85002.000,87798.000,waitingForPt,85002.000,"101697.1",<none>,,"",true,true,true,false,"101697.1","102028.1","tr_20441","XXX---2267045_3","XXX---2267045_3_0",true,PT_BOARDED_NOT_ARRIVED
"6283092",regional_background,pt,"other","home",56880.000,5457.546,60349.000,112451.000,waitingForPt,60349.000,"134473",<none>,,"",true,true,true,false,"134473","104585.1","tr_17223","XXX---2255051_3","XXX---2255051_3_5",true,PT_BOARDED_NOT_ARRIVED
"6287451",unresolved_background,car,"other","other",46179.000,18388.252,46179.000,126621.000,entered link,125257.000,"419626",entered link,125257.000,"419626",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
"6290115",regional_background,pt,"other","home",64537.000,2401.829,75879.000,96921.000,waitingForPt,75879.000,"22834",<none>,,"",true,false,false,false,"22834","22820.2","","","",true,PT_NEVER_BOARDED
